Entity,Country,sharePlastics
Agno,Philippines,0.469647499
Agusan,Philippines,0.469647499
Bharathappuzha,India,0.357340488
Cagayan River,Philippines,0.234823749
Cagayan de Oro,Philippines,0.265452934
Chao Phraya,Thailand,0.408389129
Chenzhen River,China,0.296082119
Chilyar River,India,0.234823749
Cilliwung,Indonesia,0.285872391
Davao River,Philippines,0.265452934
Douala Estuary,Cameroon,0.234823749
Ebrie Lagoon,Cote d'Ivoire,0.336921032
Ganges,India,0.633003151
Hamulauon,Philippines,0.224614021
Huangpu,China,0.367550217
Hugli,India,0.398179401
Iloilo,Philippines,0.428808586
Imus,Philippines,0.316501575
Jalaur River,Philippines,0.234823749
Karnaphuli,Bangladesh,0.265452934
Kelani,Sri Lanka,0.275662662
Kelantan River,Malaysia,0.255243206
Klang,Malaysia,1.327264671
Lagos Harbour,Nigeria,0.408389129
Langat,Malaysia,0.285872391
Libmanan,Philippines,0.724890705
Malad Creek,India,0.275662662
Malaking Tubig,Philippines,0.255243206
Meycauayan,Philippines,1.225167388
Mithi River,India,0.224614021
Msimbazi River,Tanzania,0.326711304
Pampanga,Philippines,0.949504726
Panvel Creek,India,0.255243206
Paranaque,Philippines,0.449228042
Pasig,Philippines,6.43212879
Pazundaung Creek,Myamnar,0.367550217
Periyar River,India,0.234823749
Rio Grande de Mindanao,Philippines,0.541115597
Rio Ozama,Dominican Republic,0.224614021
Rio Pavuna,Brazil,0.265452934
Sarawak,Malaysia,0.336921032
Soai Rap,Vietnam,0.418598858
Sungai Kuantan,Malaysia,0.224614021
Tambo,Philippines,0.255243206
Tullahan,Philippines,1.327264671
Ulhas,India,1.327264671
Wouri River,Cameroon,0.285872391
Yangon River,Myamnar,0.255243206
Zapote,Philippines,0.275662662
Zhujiang,China,0.255243206
